topic;id;type;fronts;intents
topic_carrotcake;0;statement;1;none
topic_carrotcake;1;question;2.3;cmd_yes,cmd_no
topic_carrotcake;2;statement;4;none
topic_carrotcake;3;statement;4;none
topic_carrotcake;4;statement;5;none
topic_carrotcake;5;statement;6;none
topic_carrotcake;6;statement;7;none
topic_carrotcake;7;statement;8;none
topic_carrotcake;8;statement;9;none
topic_carrotcake;9;statement;10;none
topic_carrotcake;10;statement;11;none
topic_carrotcake;11;statement;12;none
topic_carrotcake;12;statement;13;none
topic_carrotcake;13;statement;14;none
topic_carrotcake;14;statement;15;none
topic_carrotcake;15;statement;16;none
topic_carrotcake;16;statement;17;none
topic_carrotcake;17;statement;18;none
topic_carrotcake;18;statement;19;none
topic_carrotcake;19;statement;20;none
topic_carrotcake;20;statement;21;none
topic_carrotcake;21;statement;22;none
topic_carrotcake;22;statement;23;none
topic_carrotcake;23;question;24.25;cmd_yes,cmd_no
topic_carrotcake;24;statement;0;none
topic_carrotcake;25;statement;0;none
topic_bike;0;statement;1;None
topic_bike;1;question;2.3;cmd_yes,cmd_no
topic_bike;2;statement;4;none
topic_bike;3;statement;4;none
topic_bike;4;statement;5;none
topic_bike;5;question;6.7;cmd_yes,cmd_no
topic_bike;6;statement;8;none
topic_bike;7;statement;8;none
topic_bike;8;statement;9;none
topic_bike;9;statement;10;none
topic_bike;10;statement;11;none
topic_bike;11;statement;12;none
topic_bike;12;statement;13;none
topic_bike;13;statement;14;none
topic_bike;15;statement;16;none
topic_bike;16;statement;17;none
topic_bike;17;statement;0;none
